county,s1D,s1R,s2D,s2R
17129,3440,2705,1268,3190
17131,5233,2773,2321,3806
17133,8931,8078,3536,7854
17135,7655,4482,3351,5427
17137,9813,4801,3101,6818
17139,3749,2211,1241,3189
17141,12910,10044,4261,11184
17143,50081,26027,19751,28797
17145,6038,3249,2754,3960
17147,5245,3381,1569,4582
17149,4458,2782,1696,4067
17151,1135,921,602,1242
17153,1971,1067,1155,1429
17155,2219,908,846,1241
17157,8937,5251,4358,6168
17159,3584,3485,1270,3501
17161,44418,20172,20445,23249
17163,77920,37319,38512,38185
17165,6466,3461,2668,4528
17167,62050,33589,25248,42169
17169,2325,1258,844,1830
17171,1519,890,440,1203
17173,6307,4027,1936,5401
17175,1637,1043,464,1250
17177,12033,7703,4174,8711
17179,35388,24386,12765,28825
17181,5236,3116,2347,3658
17183,21463,10066,6309,14078
17185,2608,2563,974,2645
17187,4803,2701,1883,3654
17189,4077,3294,1494,3833
17191,3177,3958,1201,4922
17193,4021,2886,1466,3407
17195,16917,8285,7005,10473
17197,178525,91183,78787,100616
17199,16002,11564,7320,13197
17201,73518,43066,29144,44622
17203,8353,9559,2734,10022
18001,2880,6181,4613,7426
18003,31347,55454,65053,71734
18005,6492,12243,12214,14430
18007,667,1432,1416,1798
18009,1551,2068,2228,2059
18011,4944,12773,10251,15007
18013,2608,3201,3476,3544
18015,1883,3566,3194,3916
18017,3673,6361,6323,6622
18019,13429,17773,22776,21120
18021,3187,4543,4359,5192
18023,2222,4618,3931,4938
18025,1755,1803,2256,2000
18027,2061,4690,3295,6088
18029,3776,10589,7313,13422
18031,2283,4838,3478,5302
18033,3479,7351,6059,8793
18035,14414,14720,24525,15797
18037,6344,7059,8054,9143
18039,13867,30546,28230,35858
18041,2618,3154,3856,3498
18043,10238,14529,16602,16568
18045,1837,3178,2738,3541
18047,1976,4858,3512,6192
18049,1977,3854,3555,4123
18051,4644,6308,6339,7562
18053,5433,9684,10789,12549
18055,4079,5281,5480,6494
18057,20658,54675,52925,72587
18059,6325,14367,11677,17635
18061,5569,8362,7768,9005
18063,9896,26072,25208,35541
18065,4944,7192,8914,8000
18067,9734,14212,17660,15739
18069,2717,7731,5166,9077
18071,4826,7838,7045,8292
18073,2505,5329,5335,6673
18075,1986,3432,3295,3533
18077,3981,5447,6104,5624
18079,3161,4725,4441,4937
18081,9813,25462,21256,31529
18083,5230,5604,6873,6959
18085,3917,14936,8239,19908
18087,1733,4420,3300,5293
18089,65767,44232,126736,52072
18091,13627,13597,26764,14033
18093,3343,6963,7008,9365
18095,17694,18848,27183,20422
18097,113634,88564,227858,106919
18099,4362,8280,7867,8930
18101,1719,2189,1796,2606
18103,2612,5275,4925,6363
18105,19797,14336,35421,17633
18107,3051,6396,5291,7622
18109,4436,11961,9777,15867
18111,1397,2593,2588,2719
18113,3443,7167,5939,8946
18115,789,1302,1116,1536
18117,2142,3405,3242,3959
18119,2329,3353,3270,4033
18121,2120,2898,2672,3168
18123,3939,2484,4722,2660
18125,2288,2294,2676,2781
18127,18556,23723,42062,27481
18129,4418,5144,5605,5897
18131,1512,2762,2284,2640
18133,3452,5964,5196,6839
18135,2185,4201,4073,4650
18137,2323,5580,3818,6394
18139,1421,2987,2729,3392
18141,37563,39111,65689,40418
18143,3215,3329,4552,3589
18145,3200,6597,6282,8083
18147,3486,3674,4650,4451
18149,3050,3557,4484,3607
18151,3297,6149,5443,7056
18153,3392,2681,4134,3491
18155,1215,1583,1536,1581
18157,14078,19494,29181,23130
18159,1929,3512,3001,3533
18161,658,1590,1098,1732
18163,22305,26372,35430,32947
18165,2613,1991,3543,2490
18167,14771,12443,22342,14233
18169,2571,5666,4454,7287
18171,896,1530,1615,1887
18173,8207,11771,12117,14581
18175,2975,4844,4571,5512
18177,5386,9602,11752,11529
18179,2471,6401,3668,7456
18181,2377,4393,4291,4526
18183,3105,6869,5157,8584
19001,2367,1648,778,2220
19003,1288,885,442,1234
19005,4429,2453,1416,3584
19007,3541,2524,1398,3050
19009,1958,1406,747,1908
19011,8519,4985,2796,6936
19013,42681,20043,17114,27099
19015,8365,5361,3457,7014
19017,7778,4835,2815,6811
19019,6952,3226,2446,5291
19021,5071,3129,1239,4237
19023,4031,3030,1258,4339
19025,2994,2096,964,2971
19027,5905,4194,2312,5731
19029,3928,3230,1154,3930
19031,6123,3343,2148,4660
19033,16314,7449,6440,10421
19035,3883,2398,1001,3632
19037,4445,2005,1508,3331
19039,2680,1727,1041,2551
19041,4898,3297,1369,4254
19043,5907,2916,2106,4632
19045,17238,7025,6600,10189
19047,4469,2420,1201,3749
19049,16765,15248,6736,18126
19051,2236,1556,907,2042
19053,2448,1577,846,1937
19055,5513,3234,1734,5048
19057,13721,6343,6365,8083
19059,5843,3846,1887,5191
19061,32086,14482,12941,19634
19063,3337,1554,1050,2419
