FIPS,Class,Geographic Name,Geographic Subtype,Total Vote,Democratic,Republican,Independent,Green,Libertarian,Constitution,Independent American,Personal Choice,Socialist Workers,Socialist,Write-ins,State1,State2,State3,State4,State5,State6,State7
fips,class,name,type,totalvote,vote1,vote2,vote3,vote4,vote5,vote6,vote7,vote8,vote9,vote10,vote11,vote12,vote13,vote14,vote15,vote16,vote17,vote18
12019,1,Clay,County,93725,30999,59584,1996,0,0,0,0,0,0,0,0,1146,0,0,0,0,0,0
12021,1,Collier,County,143514,54784,85194,2211,0,0,0,0,0,0,0,0,1325,0,0,0,0,0,0
12023,1,Columbia,County,26599,10725,15055,583,0,0,0,0,0,0,0,0,236,0,0,0,0,0,0
12027,1,DeSoto,County,9646,4637,4661,242,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0
12029,1,Dixie,County,6737,2724,3755,174,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0
12031,1,Duval,County,401233,211493,177958,6979,0,0,0,0,0,0,0,0,4801,1,0,0,0,1,0
12033,1,Escambia,County,144852,64793,76893,1930,0,0,0,0,0,0,0,0,1236,0,0,0,0,0,0
12035,1,Flagler,County,48918,25430,22029,904,0,0,0,0,0,0,0,0,555,0,0,0,0,0,0
12037,1,Franklin,County,5376,2622,2621,82,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0
12039,1,Gadsden,County,22185,16442,5429,201,0,0,0,0,0,0,0,0,113,0,0,0,0,0,0
12041,1,Gilchrist,County,7713,2783,4692,158,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0
12043,1,Glades,County,3866,1823,1903,93,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0
12045,1,Gulf,County,7027,3123,3675,166,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0
12047,1,Hamilton,County,5260,2561,2554,99,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0
12049,1,Hardee,County,7037,3101,3611,223,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0
12051,1,Hendry,County,9967,5002,4632,204,0,0,0,0,0,0,0,0,129,0,0,0,0,0,0
12053,1,Hernando,County,81764,43691,34902,1985,0,0,0,0,0,0,0,0,1183,1,1,0,0,1,0
12055,1,Highlands,County,40972,19110,20354,1008,0,0,0,0,0,0,0,0,500,0,0,0,0,0,0
12057,1,Hillsborough,County,525862,308910,203595,7741,0,0,0,0,0,0,0,0,5614,1,1,0,0,0,0
12059,1,Holmes,County,8140,2236,5589,209,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0
12061,1,Indian River,County,68259,29563,36551,1265,0,0,0,0,0,0,0,0,879,0,0,0,0,1,0
12063,1,Jackson,County,20682,9574,10624,316,0,0,0,0,0,0,0,0,168,0,0,0,0,0,0
12065,1,Jefferson,County,7641,4549,2941,98,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0
12067,1,Lafayette,County,3345,1119,2130,57,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0
12069,1,Lake,County,146275,69791,71463,3418,0,0,0,0,0,0,0,0,1602,0,0,0,1,0,0
12071,1,Lee,County,259792,117773,133746,5367,0,0,0,0,0,0,0,0,2902,1,0,0,1,2,0
12073,1,Leon,County,143543,94323,46379,1617,0,0,0,0,0,0,0,0,1215,1,5,0,1,2,0
12075,1,Levy,County,17999,7833,9557,433,0,0,0,0,0,0,0,0,176,0,0,0,0,0,0
12077,1,Liberty,County,3237,1587,1539,69,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0
12079,1,Madison,County,8520,4763,3545,134,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0
12081,1,Manatee,County,149652,73985,70721,3259,0,0,0,0,0,0,0,0,1687,0,0,0,0,0,0
12083,1,Marion,County,158123,76930,75967,3452,0,0,0,0,0,0,0,0,1774,0,0,0,0,0,0
12085,1,Martin,County,76220,33767,40901,982,0,0,0,0,0,0,0,0,568,0,0,0,2,0,0
12086,1,Miami-Dade,County,827969,523461,292757,5560,0,0,0,0,0,0,0,0,6180,2,2,0,7,0,0
12087,1,Monroe,County,37286,19506,17013,467,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0
12089,1,Nassau,County,39341,13313,24773,780,0,0,0,0,0,0,0,0,475,0,0,0,0,0,0
12091,1,Okaloosa,County,92177,27098,61796,2126,0,0,0,0,0,0,0,0,1155,0,0,0,0,2,0
12093,1,Okeechobee,County,11941,5972,5554,254,0,0,0,0,0,0,0,0,160,0,1,0,0,0,0
12095,1,Orange,County,444293,282090,153241,5578,0,0,0,0,0,0,0,0,3384,0,0,0,0,0,0
12097,1,Osceola,County,104886,69690,32331,1750,0,0,0,0,0,0,0,0,1114,0,1,0,0,0,0
12099,1,Palm Beach,County,569067,362499,198238,4724,0,0,0,0,0,0,0,0,3603,2,1,0,0,0,0
12101,1,Pasco,County,207786,111764,87620,4930,0,0,0,0,0,0,0,0,3467,0,2,0,0,3,0
12103,1,Pinellas,County,445436,263427,167380,8305,0,0,0,0,0,0,0,0,6318,0,2,1,0,3,0
12105,1,Polk,County,241667,126722,107393,4860,0,0,0,0,0,0,0,0,2690,0,1,1,0,0,0
12107,1,Putnam,County,30729,14560,14942,808,0,0,0,0,0,0,0,0,419,0,0,0,0,0,0
12109,1,St. Johns,County,111515,41171,66626,2218,0,0,0,0,0,0,0,0,1498,0,2,0,0,0,0
12111,1,St. Lucie,County,118943,70179,45989,1557,0,0,0,0,0,0,0,0,1218,0,0,0,0,0,0
12113,1,Santa Rosa,County,75065,21893,50772,1516,0,0,0,0,0,0,0,0,884,0,0,0,0,0,0
12115,1,Sarasota,County,201365,102569,93502,3311,0,0,0,0,0,0,0,0,1983,0,0,0,0,0,0
12117,1,Seminole,County,201645,106371,90179,2863,0,0,0,0,0,0,0,0,2232,0,0,0,0,0,0
12119,1,Sumter,County,59210,23410,34058,1183,0,0,0,0,0,0,0,0,559,0,0,0,0,0,0
12121,1,Suwannee,County,17356,6277,10480,430,0,0,0,0,0,0,0,0,169,0,0,0,0,0,0
12123,1,Taylor,County,8972,3914,4802,175,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0
12125,1,Union,County,5272,2057,3070,93,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0
